title,author,publisher,grade_specific,grade_category,source,publication_date,isbn,translator
毛衣勾到了,"作者：趙小傑\n繪者：森酪梨",小康軒,一上,低,喜閱網,2021-11-15,9789865357078,
陶樂蒂的開學日,"作者：陶樂蒂  \n繪者：陶樂蒂，黃郁欽",親子天下,一上,低,喜閱網,2018-08-03,9789579095808,
你幾歲？,"作者：林良  \n繪者：趙國宗",信誼基金,一上,低,喜閱網,2009-11-12,9789576420627,
蛀牙王子,作者/繪者：張蓬潔 ,信誼基金出版社,一上,低,喜閱網,2022-07-01,9789861616797,
會生氣的山,作者/繪者：陳又凌,小天下,一上,低,喜閱網,2018-02-05,9789864793648,
小老鼠的夢想,作者/繪者：劉旭恭                                       ,水滴文化,一上,低,喜閱網,2020-08-01,9789579529471,
都是我的,"作者：張輝誠 \n繪者：李小逸",親子天下,一上,低,喜閱網,2018-09-07,9789575030292,
再等一下下,作者/繪者：李憶婷,親子天下,一下,低,喜閱網,2023-06-29,9786263055025,
學思達小學堂5:快一點慢一點,"作者：張輝誠\n繪者：許匡匡",親子天下,一下,低,喜閱網,2018-09-07,9789575030308,
你看看你，把這裡弄得這麼亂！,作者：劉旭恭,水滴文化,一下,低,喜閱網,2016-01-30,9789865730314,
歡迎光臨口罩動物村,作者/繪者：黃芝瑩                                      ,親子天下,一下,低,喜閱網,2020-05-27,9789575036119,
騎著恐龍去上學,"作者：劉思源\n繪者：李小逸",步步,一下,低,喜閱網,2017-03-03,9789869433709,
玩具診所開門了,"作者：方素珍  \n繪者：郝洛玟",小天下,一下,低,喜閱網,2018-01-19,9789864793440,
一張鈔票一百元,"作者：郝廣才\n繪者：Giuliano Ferri",格林文化,一下,低,喜閱網,2018-01-01,9789577459428,
最大的草莓蛋糕,"作者：金怡妃,劉清彥\n繪者：蔡侑玲",親子天下,二上,低,喜閱網,2023-03-30,9786263054493,
冬冬的考卷不見了,"作者：劉思源\n繪者：唐唐",親子天下,二上,低,喜閱網,2024-01-31,9786263056732,
我們班的新同學 斑傑明‧馬利,作者：賴馬,親子天下,二上,低,喜閱網,2021-01-21,9789575037581,
熊媽媽愛上了手機,作者/繪者：汪菁,信誼基金出版社,二上,低,喜閱網,2022-04-25,9789861616773,
我是黑天鵝,"作者：劉清彥\n繪者：張蓓瑜",親子天下,二上,低,喜閱網,2021-07-29,9786263050327,
媽媽變成鴨,"作者：鄧惠文、小巫愛麗                   繪者：傅馨逸",三采,二上,低,喜閱網,2019-11-29,9789576582523,
好忙的除夕,作者：翁藝珊,信誼基金,二上,低,喜閱網,2019-01-01,9789861615936,
跟著媽祖去春遊,作者/繪者：張秀毓,天衛文化,二下,低,喜閱網,2023-04-01,9789574906239,
不偷懶小學1：不摸魚老師,"作者：林哲璋\n繪者：BO2",小天下  ,二下,低,喜閱網,2021-07-22,9789865252113,
多多少少郵局,"作者：王淑芬\n繪者：吳語緁",信誼基金出版社,二下,低,喜閱網,2021-01-01,9789861616322,
呼嚕呼嚕的書店小貓,作者/繪者：吳欣芷,小典藏出版,二下,低,喜閱網,2021-08-02,9789579057868,
阿祖，再見,"作者：林柏廷\n繪者：林柏廷",小天下,二下,低,喜閱網,2021-10-15,9789865253257,
小熊逛市場,"作者：張素卿（kiki）\n繪者：周見信",四也文化出版公司,二下,低,喜閱網,2021-11-05,9789860653939,
我的弱雞爸爸,作者：王文華                                       繪者：黃祈嘉,親子天下,二下,低,喜閱網,2019-05-30,9789575034184,
小威的眼睛,作者/繪者：杜宛霖,信誼基金出版社,三上,中,喜閱網,2024-04-01,9789861617398,
荒島食驗家1：過貓泡麵,"作者：王宇清\n繪者：rabbit44",小木馬出版,三上,中,喜閱網,2021-10-27,9786263140585,
時光小學四：暴龍爸爸回來了,"作者：王文華\n繪者：貓魚",國語日報,三上,中,喜閱網,2022-09-07,9789577519085,
那間慢吞吞的店,"作者：李光福\n繪者：施暖暖",小兵,三上,中,喜閱網,2020-03-05,9789579047623,
炊粿慶團圓,"作者：鄭宗弦\n繪者：陳奕喬",小文房,三上,中,喜閱網,2021-12-27,9789865556228,
我家系列2：我家有個花‧果‧菜‧園,作者/繪者：童嘉                                          ,親子天下,三上,中,喜閱網,2017-10-05,9789869526753,
小熊兄妹的點子屋1：點子屋新開張,作者：哲也                                           繪者：水腦,親子天下,三上,中,喜閱網,2019-07-30,9789575034672,
打氣粥,作者：邱彩綢                                        繪者：莊詠婷,小典藏,三上,中,喜閱網,2018-12-05,9789869690041,
大象男孩與機器女孩,"作者：郝廣才\n繪者：田中伸介",格林文化,三上,中,喜閱網,2017-11-01,9789577459374,
八歲一個人去旅行,作者：吳念真,遠流,三上,中,喜閱網,2003-06-05,957324909X,
我家附近的野花,作者/繪者：陳麗雅,小天下,三上,中,喜閱網,2016-04-28,9789863209829,
愛吃糖的皇帝,作者/繪者：黃春明,聯合文學,三上,中,喜閱網,2011-03-25,9789575229252,
大熊醫生粉絲團,"作者：劉思源   \n繪者：嚴凱信",親子天下,三上,中,喜閱網,2016-12-06,9789869366823,
達克比辦案11-荒漠救命蛙：沙漠生態系與動物的適應,"作者：胡妙芬\n繪者：柯智元,彭永成",親子天下,三下,中,喜閱網,2022-03-31,9786263051973,
小兒子4：遲到超人,"作者：駱以軍, 王文華\n繪者：李小逸",親子天下,三下,中,喜閱網,2022-08-31,9786263052680,
安心國小2：冰紅茶霸凌事件,"作者：岑澎維\n繪者：張庭瑀",小天下,三下,中,喜閱網,2020-09-07,9789865535483,
大火狂燒半個澳洲森林,"作者：洪瓊君\n繪者：陳采悠",晨星,三下,中,喜閱網,2023-09-01,9786263205345,
找不到系列2：找不到山上,"作者：岑澎維\n繪者：林小杯",親子天下,三下,中,喜閱網,2017-07-07,9789869495998,
機智白賊闖通關,"作者：嚴淑女\n繪者：林芷蔚",親子天下,三下,中,喜閱網,2019-05-30,9789575034191,
小J的聰明藥,"作者：林哲璋\n繪者：BO2",小天下,三下,中,喜閱網,2018-07-27,9789864794836,
小學生年度學習行事曆(中年級篇),"作者：陳麗雲／編\n繪者：陳志鴻",康軒,三下,中,喜閱網,2018-08-15,9789861519982,
黑鮪魚的旅行,"作者： 林滿秋 \n繪者： 孫心瑜",青林,三下,中,喜閱網,2014-07-25,9789862741634,
